


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    235.000   -100.206   .3274   20.000     -124.085   .3085   20.000     -121.728   .3103   20.000
    237.429   -101.946   .3260   20.000     -125.971   .3071   20.000     -123.577   .3089   20.000
    239.857   -103.654   .3246   20.000     -127.822   .3057   20.000     -125.391   .3075   20.000
    242.286   -105.334   .3233   20.000     -129.637   .3043   20.000     -127.168   .3062   20.000
    244.714   -106.988   .3220   20.000     -131.419   .3029   20.000     -128.911   .3048   20.000
    247.143   -108.616   .3207   20.000     -133.170   .3016   20.000     -130.621   .3036   20.000
    249.571   -110.220   .3194   20.000     -134.892   .3003   20.000     -132.299   .3023   20.000
    252.000   -111.800   .3181   20.000     -136.586   .2990   20.000     -133.947   .3010   20.000
    254.429   -113.356   .3169   20.000     -138.253   .2978   20.000     -135.566   .2998   20.000
    256.857   -114.890   .3157   20.000     -139.895   .2965   20.000     -137.156   .2986   20.000
    259.286   -116.402   .3145   20.000     -141.512   .2953   20.000     -138.719   .2974   20.000
    261.714   -117.891   .3133   20.000     -143.106   .2941   20.000     -140.255   .2963   20.000
    264.143   -119.358   .3121   20.000     -144.678   .2929   20.000     -141.765   .2951   20.000
    266.571   -120.801   .3110   20.000     -146.228   .2917   20.000     -143.249   .2940   20.000
    269.000   -122.216   .3099   20.000     -147.758   .2906   20.000     -144.708   .2929   20.000
    271.333   -123.542   .3089   20.000     -149.213   .2895   20.000     -146.088   .2919   20.000
    273.667   -124.840   .3079   20.000     -150.662   .2884   20.000     -147.453   .2908   20.000
    276.000   -126.115   .3070   20.000     -152.117   .2873   20.000     -148.820   .2898   20.000
    278.333   -127.369   .3060   20.000     -153.557   .2864   20.000     -150.188   .2888   20.000
    280.667   -128.606   .3051   20.000     -154.964   .2855   20.000     -151.554   .2877   20.000
    283.000   -129.827   .3042   20.000     -156.340   .2847   20.000     -152.911   .2868   20.000
    285.333   -131.033   .3032   20.000     -157.688   .2838   20.000     -154.246   .2860   20.000
    287.667   -132.224   .3023   20.000     -159.009   .2830   20.000     -155.555   .2852   20.000
    290.000   -133.401   .3014   20.000     -160.305   .2822   20.000     -156.841   .2843   20.000
    292.333   -134.564   .3006   20.000     -161.577   .2814   20.000     -158.102   .2836   20.000
    294.667   -135.714   .2997   20.000     -162.827   .2806   20.000     -159.340   .2828   20.000
    297.000   -136.851   .2988   20.000     -164.054   .2798   20.000     -160.556   .2820   20.000
    300.000   -138.292   .2977   20.000     -165.597   .2788   20.000     -162.084   .2811   20.000
    302.600   -139.528   .2968   20.000     -166.910   .2780   20.000     -163.384   .2802   20.000
    305.200   -140.751   .2959   20.000     -168.201   .2772   20.000     -164.661   .2794   20.000
    307.800   -141.962   .2950   20.000     -169.469   .2764   20.000     -165.914   .2786   20.000
    310.400   -143.163   .2941   20.000     -170.715   .2756   20.000     -167.146   .2779   20.000
    313.000   -144.353   .2932   20.000     -171.941   .2749   20.000     -168.356   .2771   20.000
    315.318   -145.408   .2924   20.000     -173.018   .2742   20.000     -169.419   .2764   20.000
    318.630   -146.897   .2912   20.000     -174.524   .2732   20.000     -170.904   .2755   20.000
    321.942   -148.374   .2901   20.000     -176.003   .2723   20.000     -172.361   .2746   20.000
    325.253   -149.843   .2890   20.000     -177.453   .2714   20.000     -173.788   .2737   20.000
    328.565   -151.303   .2879   20.000     -178.877   .2705   20.000     -175.188   .2728   20.000
    331.877   -152.749   .2869   20.000     -180.275   .2696   20.000     -176.561   .2720   20.000
    335.188   -154.150   .2860   20.000     -181.646   .2688   20.000     -177.905   .2711   20.000
    338.500   -155.494   .2852   20.000     -182.986   .2679   20.000     -179.218   .2703   20.000
    339.000   -155.694   .2851   20.000     -183.187   .2678   20.000     -179.416   .2702   20.000
    339.002   -155.681   .2851   20.000     -183.186   .2678   20.000     -179.424   .2702   20.000
