 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  13:52:45
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:       .1000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .132E-27
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .124E-27
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .326E-28
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .234E-27
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -2.1   .189     20.00  .110E-07
   21   67     .2    2.0   -4   .000E+00   .000E+00       -2.9   .171     20.00  .263E-06
   22   68     .1    2.0   -4   .000E+00   .000E+00       -3.8   .159     20.00  .693E-04
   23   69     .1    2.0   -4   .000E+00   .000E+00       -4.0   .156     20.00  .608E-03
   24   70     .1    2.0   -4   .000E+00   .000E+00       -3.9   .158     20.00  .158E-02
   25   71     .0    2.0   -4   .000E+00   .000E+00       -3.7   .160     20.00  .249E-02
   26   72     .0    2.0   -4   .000E+00   .000E+00       -3.7   .160     20.00  .259E-02
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -3.8   .159     20.00  .187E-02
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -3.9   .157     20.00  .998E-03
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -3.8   .159     20.00  .199E-03
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -2.9   .171     20.00  .106E-05


 Time:      5.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .379E-01
    2    2     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .357E-01
    3    3     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .345E-01
    4    4     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .350E-01
    5    5     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .364E-01
    6    6     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .400E-01
    7    7     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .438E-01
    8    8     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .449E-01
    9    9     .0    1.7   -3   .171E-02  -.250E+00        -.1   .411     20.00  .416E-01
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .261E-26
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .230E-25
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .707E-25
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .659E-25
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .186E-25
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .144E-24
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .151E-27
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -2.2   .187     20.00  .202E-06
   21   67     .2    2.0   -4   .000E+00   .000E+00       -3.2   .167     20.00  .839E-05
   22   68     .1    2.0   -4   .000E+00   .000E+00       -4.4   .153     20.00  .996E-03
   23   69     .1    2.0   -4   .000E+00   .000E+00       -4.5   .152     20.00  .462E-02
   24   70     .1    2.0   -4   .000E+00   .000E+00       -4.1   .155     20.00  .896E-02
   25   71     .0    2.0   -4   .000E+00   .000E+00       -3.9   .158     20.00  .122E-01
   26   72     .0    2.0   -4   .000E+00   .000E+00       -3.8   .159     20.00  .124E-01
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -4.1   .156     20.00  .965E-02
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -4.3   .153     20.00  .588E-02
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -4.3   .154     20.00  .160E-02
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -3.2   .167     20.00  .182E-04


 Time:      6.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .000E+00   .000E+00        -.6   .292     20.00  .514E-01
    2    2     .0    1.7   -3   .000E+00   .000E+00        -.6   .293     20.00  .496E-01
    3    3     .0    1.7   -3   .000E+00   .000E+00        -.5   .294     20.00  .488E-01
    4    4     .0    1.7   -3   .000E+00   .000E+00        -.6   .294     20.00  .493E-01
    5    5     .0    1.7   -3   .000E+00   .000E+00        -.6   .293     20.00  .506E-01
    6    6     .0    1.7   -3   .000E+00   .000E+00        -.6   .291     20.00  .522E-01
    7    7     .0    1.7   -3   .000E+00   .000E+00        -.6   .290     20.00  .532E-01
    8    8     .0    1.7   -3   .000E+00   .000E+00        -.6   .290     20.00  .532E-01
    9    9     .0    1.7   -3   .000E+00   .000E+00        -.6   .291     20.00  .530E-01
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .468E-24
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .402E-23
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .120E-22
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .113E-22
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .369E-23
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .300E-22
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .533E-25
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .340E-27
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .118E-29
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .207E-28
   20   66     .2    2.0   -4   .000E+00   .000E+00       -2.2   .187     20.00 -.190E-05
   21   67     .2    2.0   -4   .000E+00   .000E+00       -3.2   .167     20.00  .160E-03
   22   68     .1    2.0   -4   .000E+00   .000E+00       -4.3   .154     20.00  .662E-02
   23   69     .1    2.0   -4   .000E+00   .000E+00       -4.0   .156     20.00  .196E-01
   24   70     .1    2.0   -4   .000E+00   .000E+00       -3.5   .163     20.00  .314E-01
   25   71     .0    2.0   -4   .000E+00   .000E+00       -3.1   .168     20.00  .385E-01
   26   72     .0    2.0   -4   .000E+00   .000E+00       -3.1   .168     20.00  .386E-01
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -3.4   .164     20.00  .320E-01
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -3.8   .159     20.00  .220E-01
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -4.1   .156     20.00  .844E-02
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -3.2   .167     20.00  .304E-03


 Time:     10.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .000E+00   .000E+00       -1.1   .233     20.00  .754E-01
    2    2     .0    1.7   -3   .000E+00   .000E+00       -1.1   .236     20.00  .703E-01
    3    3     .0    1.7   -3   .000E+00   .000E+00       -1.1   .238     20.00  .662E-01
    4    4     .0    1.7   -3   .000E+00   .000E+00       -1.1   .237     20.00  .686E-01
    5    5     .0    1.7   -3   .000E+00   .000E+00       -1.1   .234     20.00  .734E-01
    6    6     .0    1.7   -3   .000E+00   .000E+00       -1.2   .231     20.00  .784E-01
    7    7     .0    1.7   -3   .000E+00   .000E+00       -1.2   .228     20.00  .836E-01
    8    8     .0    1.7   -3   .000E+00   .000E+00       -1.2   .227     20.00  .852E-01
    9    9     .0    1.7   -3   .000E+00   .000E+00       -1.2   .229     20.00  .810E-01
