


                               Node( 53)                                           Node(107)                                           Node(136)                                           Node(278)                                           Node(408)                                           Node(593)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .050     -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2111   20.000   .217E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.518   .2109   20.000   .490E-18   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .704E-15   .000E+00
       .051     -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .287E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.519   .2108   20.000   .778E-18   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .106E-14   .000E+00
       .053     -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .374E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.519   .2108   20.000   .122E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .156E-14   .000E+00
       .055     -1.500   .2117   20.000   .000E+00   .000E+00       -1.512   .2111   20.000   .480E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.520   .2108   20.000   .191E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .229E-14   .000E+00
       .057     -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .608E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.521   .2108   20.000   .294E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .331E-14   .000E+00
       .059     -1.500   .2117   20.000   .000E+00   .000E+00       -1.510   .2112   20.000   .761E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.521   .2107   20.000   .448E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .476E-14   .000E+00
       .060     -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2113   20.000   .942E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.522   .2107   20.000   .676E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .676E-14   .000E+00
       .063     -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2114   20.000   .123E-02   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.523   .2107   20.000   .114E-16   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .106E-13   .000E+00
       .065     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .157E-02   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.524   .2106   20.000   .188E-16   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .162E-13   .000E+00
       .067     -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .199E-02   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.525   .2106   20.000   .305E-16   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .247E-13   .000E+00
       .070     -1.500   .2117   20.000   .000E+00   .000E+00       -1.498   .2118   20.000   .248E-02   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.525   .2105   20.000   .488E-16   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .370E-13   .000E+00
