Pcp_File_Version=2
*** BLOCK ?: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
    1              1
Nodal Information
    n   Code       h           Q        M     Beta     Axz      Bxz      Dxz     Temp     Conc(1..NS)   
  421     0       -64.5             0   2       0        1        1        1          20            0 
  422     0       -64.5             0   2       0        1        1        1          20            0 
  423     0       -64.5             0   2       0        1        1        1          20            0 
  424     0       -64.5             0   2       0        1        1        1          20            0 
  425     0       -64.5             0   2       0        1        1        1          20            0 
  426     0       -64.5             0   2       0        1        1        1          20            0 
  427     0       -64.5             0   2       0        1        1        1          20            0 
  428     0       -64.5             0   2       0        1        1        1          20            0 
  429     0       -64.5             0   2       0        1        1        1          20            0 
  430     0       -64.5             0   2       0        1        1        1          20            0 
  431     0       -64.5             0   2       0        1        1        1          20            0 
  432     0       -64.5             0   2       0        1        1        1          20            0 
  433     0         -67             0   2       0        1        1        1          20            0 
  434     0         -67             0   2       0        1        1        1          20            0 
  435     0         -67             0   2       0        1        1        1          20            0 
  436     0         -67             0   2       0        1        1        1          20            0 
  437     0         -67             0   2       0        1        1        1          20            0 
  438     0         -67             0   2       0        1        1        1          20            0 
  439     0         -67             0   2       0        1        1        1          20            0 
  440     0         -67             0   2       0        1        1        1          20            0 
  441     0         -67             0   2       0        1        1        1          20            0 
  442     0         -67             0   2       0        1        1        1          20            0 
  443     0         -67             0   2       0        1        1        1          20            0 
  444     0         -67             0   2       0        1        1        1          20            0 
  445     0         -67             0   2       0        1        1        1          20            0 
  446     0         -67             0   2       0        1        1        1          20            0 
  447     0         -67             0   2       0        1        1        1          20            0 
  448     0         -67             0   2       0        1        1        1          20            0 
  449     0         -67             0   2       0        1        1        1          20            0 
  450     0         -67             0   2       0        1        1        1          20            0 
  451     0         -67             0   2       0        1        1        1          20            0 
  452     0         -70             0   1       0        1        1        1          20            0 
  453     0         -70             0   1       0        1        1        1          20            0 
  454     0         -70             0   1       0        1        1        1          20            0 
  455     0         -70             0   1       0        1        1        1          20            0 
  456     0         -70             0   1       0        1        1        1          20            0 
  457     0         -70             0   1       0        1        1        1          20            0 
  458     0         -70             0   1       0        1        1        1          20            0 
  459     0         -70             0   1       0        1        1        1          20            0 
  460     0         -70             0   1       0        1        1        1          20            0 
  461     0         -70             0   1       0        1        1        1          20            0 
  462     0         -70             0   1       0        1        1        1          20            0 
  463     0         -70             0   1       0        1        1        1          20            0 
  464     0         -70             0   1       0        1        1        1          20            0 
  465     0         -70             0   1       0        1        1        1          20            0 
  466     0         -70             0   1       0        1        1        1          20            0 
  467     0         -70             0   1       0        1        1        1          20            0 
  468     0         -70             0   1       0        1        1        1          20            0 
  469     0         -70             0   1       0        1        1        1          20            0 
  470     0         -70             0   1       0        1        1        1          20            0 
  471     0         -75             0   1       0        1        1        1          20            0 
  472     0         -75             0   1       0        1        1        1          20            0 
  473     0         -75             0   1       0        1        1        1          20            0 
  474     0         -75             0   1       0        1        1        1          20            0 
  475     0         -75             0   1       0        1        1        1          20            0 
  476     0         -75             0   1       0        1        1        1          20            0 
  477     0         -75             0   1       0        1        1        1          20            0 
  478     0         -75             0   1       0        1        1        1          20            0 
  479     0         -75             0   1       0        1        1        1          20            0 
  480     0         -75             0   1       0        1        1        1          20            0 
  481     0         -75             0   1       0        1        1        1          20            0 
  482     0         -75             0   1       0        1        1        1          20            0 
  483     0         -75             0   1       0        1        1        1          20            0 
  484     0         -75             0   1       0        1        1        1          20            0 
  485     0         -75             0   1       0        1        1        1          20            0 
  486     0         -75             0   1       0        1        1        1          20            0 
  487     0         -75             0   1       0        1        1        1          20            0 
  488     0         -75             0   1       0        1        1        1          20            0 
  489     0         -75             0   1       0        1        1        1          20            0 
  490     0         -85             0   1       0        1        1        1          20            0 
  491     0         -85             0   1       0        1        1        1          20            0 
  492     0         -85             0   1       0        1        1        1          20            0 
  493     0         -85             0   1       0        1        1        1          20            0 
  494     0         -85             0   1       0        1        1        1          20            0 
  495     0         -85             0   1       0        1        1        1          20            0 
  496     0         -85             0   1       0        1        1        1          20            0 
  497     0         -85             0   1       0        1        1        1          20            0 
  498     0         -85             0   1       0        1        1        1          20            0 
  499     0         -85             0   1       0        1        1        1          20            0 
  500     0         -85             0   1       0        1        1        1          20            0 
  501     0         -85             0   1       0        1        1        1          20            0 
  502     0         -85             0   1       0        1        1        1          20            0 
  503     0         -85             0   1       0        1        1        1          20            0 
  504     0         -85             0   1       0        1        1        1          20            0 
  505     0         -85             0   1       0        1        1        1          20            0 
  506     0         -85             0   1       0        1        1        1          20            0 
  507     0         -85             0   1       0        1        1        1          20            0 
  508     0         -85             0   1       0        1        1        1          20            0 
  509     0         -92             0   1       0        1        1        1          20            0 
  510     0         -92             0   1       0        1        1        1          20            0 
  511     0         -92             0   1       0        1        1        1          20            0 
  512     0         -92             0   1       0        1        1        1          20            0 
  513     0         -92             0   1       0        1        1        1          20            0 
  514     0         -92             0   1       0        1        1        1          20            0 
  515     0         -92             0   1       0        1        1        1          20            0 
  516     0         -92             0   1       0        1        1        1          20            0 
  517     0         -92             0   1       0        1        1        1          20            0 
  518     0         -92             0   1       0        1        1        1          20            0 
