


                               Node(280)                                           Node(331)                                           Node(443)                                           Node(517)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
     22.036     -2.993   .3411   20.000   .103E-15   .000E+00      -29.844   .3208   20.000   .205E-11   .000E+00      -66.259   .2785   20.000   .546E-05   .000E+00      -17.475   .3986   20.000   .964E-02   .000E+00
     22.054     -2.993   .3411   20.000   .104E-15   .000E+00      -29.844   .3208   20.000   .207E-11   .000E+00      -66.242   .2785   20.000   .548E-05   .000E+00      -16.484   .3999   20.000   .971E-02   .000E+00
     22.071     -2.993   .3411   20.000   .105E-15   .000E+00      -29.844   .3208   20.000   .208E-11   .000E+00      -66.221   .2785   20.000   .550E-05   .000E+00      -15.568   .4012   20.000   .978E-02   .000E+00
     22.095     -2.993   .3411   20.000   .106E-15   .000E+00      -29.844   .3208   20.000   .210E-11   .000E+00      -66.185   .2785   20.000   .553E-05   .000E+00      -14.479   .4027   20.000   .987E-02   .000E+00
     22.119     -2.993   .3411   20.000   .107E-15   .000E+00      -29.844   .3208   20.000   .212E-11   .000E+00      -66.140   .2786   20.000   .555E-05   .000E+00      -13.511   .4041   20.000   .995E-02   .000E+00
     22.143     -2.993   .3411   20.000   .108E-15   .000E+00      -29.844   .3208   20.000   .213E-11   .000E+00      -66.084   .2786   20.000   .558E-05   .000E+00      -12.631   .4054   20.000   .100E-01   .000E+00
     22.167     -2.993   .3411   20.000   .109E-15   .000E+00      -29.844   .3208   20.000   .215E-11   .000E+00      -66.013   .2786   20.000   .561E-05   .000E+00      -11.830   .4066   20.000   .101E-01   .000E+00
     22.190     -2.993   .3411   20.000   .110E-15   .000E+00      -29.845   .3208   20.000   .217E-11   .000E+00      -65.925   .2787   20.000   .564E-05   .000E+00      -11.092   .4077   20.000   .102E-01   .000E+00
     22.214     -2.993   .3411   20.000   .111E-15   .000E+00      -29.845   .3208   20.000   .219E-11   .000E+00      -65.815   .2787   20.000   .567E-05   .000E+00      -10.414   .4088   20.000   .102E-01   .000E+00
     22.238     -2.993   .3411   20.000   .113E-15   .000E+00      -29.845   .3208   20.000   .221E-11   .000E+00      -65.680   .2788   20.000   .570E-05   .000E+00       -9.789   .4098   20.000   .103E-01   .000E+00
     22.262     -2.993   .3411   20.000   .114E-15   .000E+00      -29.845   .3208   20.000   .223E-11   .000E+00      -65.514   .2788   20.000   .574E-05   .000E+00       -9.215   .4107   20.000   .104E-01   .000E+00
     22.286     -2.993   .3411   20.000   .115E-15   .000E+00      -29.845   .3208   20.000   .225E-11   .000E+00      -65.311   .2789   20.000   .578E-05   .000E+00       -8.684   .4115   20.000   .104E-01   .000E+00
     22.310     -2.993   .3411   20.000   .116E-15   .000E+00      -29.845   .3208   20.000   .227E-11   .000E+00      -65.063   .2790   20.000   .582E-05   .000E+00       -8.196   .4123   20.000   .104E-01   .000E+00
     22.333     -2.993   .3411   20.000   .117E-15   .000E+00      -29.845   .3208   20.000   .229E-11   .000E+00      -64.764   .2791   20.000   .586E-05   .000E+00       -7.753   .4130   20.000   .105E-01   .000E+00
     22.357     -2.993   .3411   20.000   .119E-15   .000E+00      -29.845   .3208   20.000   .231E-11   .000E+00      -64.402   .2793   20.000   .591E-05   .000E+00       -7.341   .4137   20.000   .105E-01   .000E+00
     22.381     -2.993   .3411   20.000   .120E-15   .000E+00      -29.845   .3208   20.000   .233E-11   .000E+00      -63.968   .2795   20.000   .596E-05   .000E+00       -6.969   .4143   20.000   .105E-01   .000E+00
     22.405     -2.993   .3411   20.000   .121E-15   .000E+00      -29.845   .3208   20.000   .235E-11   .000E+00      -63.462   .2797   20.000   .602E-05   .000E+00       -6.629   .4149   20.000   .106E-01   .000E+00
     22.429     -2.993   .3411   20.000   .122E-15   .000E+00      -29.845   .3208   20.000   .237E-11   .000E+00      -62.870   .2799   20.000   .608E-05   .000E+00       -6.323   .4154   20.000   .106E-01   .000E+00
     22.464     -2.993   .3411   20.000   .124E-15   .000E+00      -29.845   .3208   20.000   .240E-11   .000E+00      -61.798   .2804   20.000   .619E-05   .000E+00       -5.909   .4160   20.000   .106E-01   .000E+00
     22.500     -2.993   .3411   20.000   .126E-15   .000E+00      -29.845   .3208   20.000   .243E-11   .000E+00      -60.406   .2811   20.000   .633E-05   .000E+00       -5.574   .4166   20.000   .106E-01   .000E+00
     22.501     -2.993   .3411   20.000   .126E-15   .000E+00      -29.845   .3208   20.000   .243E-11   .000E+00      -60.371   .2811   20.000   .634E-05   .000E+00       -5.586   .4166   20.000   .106E-01   .000E+00
     22.502     -2.993   .3411   20.000   .126E-15   .000E+00      -29.845   .3208   20.000   .243E-11   .000E+00      -60.319   .2811   20.000   .634E-05   .000E+00       -5.577   .4166   20.000   .106E-01   .000E+00
     22.504     -2.993   .3411   20.000   .126E-15   .000E+00      -29.844   .3208   20.000   .244E-11   .000E+00      -60.251   .2812   20.000   .635E-05   .000E+00       -5.572   .4167   20.000   .106E-01   .000E+00
     22.506     -2.993   .3411   20.000   .127E-15   .000E+00      -29.844   .3208   20.000   .244E-11   .000E+00      -60.161   .2812   20.000   .636E-05   .000E+00       -5.579   .4166   20.000   .106E-01   .000E+00
     22.509     -2.993   .3411   20.000   .127E-15   .000E+00      -29.844   .3208   20.000   .244E-11   .000E+00      -60.042   .2813   20.000   .637E-05   .000E+00       -5.608   .4166   20.000   .106E-01   .000E+00
     22.513     -2.993   .3411   20.000   .127E-15   .000E+00      -29.844   .3208   20.000   .244E-11   .000E+00      -59.884   .2813   20.000   .639E-05   .000E+00       -5.675   .4165   20.000   .106E-01   .000E+00
     22.518     -2.993   .3411   20.000   .127E-15   .000E+00      -29.844   .3208   20.000   .245E-11   .000E+00      -59.674   .2814   20.000   .641E-05   .000E+00       -5.794   .4163   20.000   .106E-01   .000E+00
     22.524     -2.993   .3411   20.000   .127E-15   .000E+00      -29.844   .3208   20.000   .245E-11   .000E+00      -59.392   .2816   20.000   .644E-05   .000E+00       -5.984   .4160   20.000   .106E-01   .000E+00
     22.532     -2.993   .3411   20.000   .128E-15   .000E+00      -29.844   .3208   20.000   .246E-11   .000E+00      -59.010   .2817   20.000   .648E-05   .000E+00       -6.258   .4155   20.000   .106E-01   .000E+00
     22.543     -2.993   .3411   20.000   .129E-15   .000E+00      -29.844   .3208   20.000   .247E-11   .000E+00      -58.481   .2820   20.000   .654E-05   .000E+00       -6.624   .4149   20.000   .106E-01   .000E+00
     22.556     -2.993   .3411   20.000   .129E-15   .000E+00      -29.844   .3208   20.000   .248E-11   .000E+00      -57.726   .2824   20.000   .662E-05   .000E+00       -7.098   .4141   20.000   .106E-01   .000E+00
     22.574     -2.993   .3411   20.000   .130E-15   .000E+00      -29.843   .3208   20.000   .250E-11   .000E+00      -56.673   .2828   20.000   .674E-05   .000E+00       -7.646   .4132   20.000   .106E-01   .000E+00
     22.597     -2.993   .3411   20.000   .132E-15   .000E+00      -29.842   .3208   20.000   .252E-11   .000E+00      -55.199   .2835   20.000   .691E-05   .000E+00       -8.268   .4122   20.000   .106E-01   .000E+00
     22.628     -2.993   .3411   20.000   .133E-15   .000E+00      -29.841   .3208   20.000   .255E-11   .000E+00      -53.215   .2846   20.000   .717E-05   .000E+00       -8.954   .4111   20.000   .106E-01   .000E+00
     22.667     -2.993   .3411   20.000   .136E-15   .000E+00      -29.839   .3208   20.000   .259E-11   .000E+00      -50.440   .2860   20.000   .760E-05   .000E+00       -9.694   .4099   20.000   .106E-01   .000E+00
     22.719     -2.993   .3411   20.000   .139E-15   .000E+00      -29.833   .3208   20.000   .264E-11   .000E+00      -46.964   .2878   20.000   .831E-05   .000E+00      -10.477   .4086   20.000   .105E-01   .000E+00
     22.784     -2.993   .3411   20.000   .143E-15   .000E+00      -29.821   .3208   20.000   .271E-11   .000E+00      -43.052   .2900   20.000   .948E-05   .000E+00      -11.244   .4074   20.000   .105E-01   .000E+00
     22.874     -2.993   .3411   20.000   .148E-15   .000E+00      -29.788   .3208   20.000   .281E-11   .000E+00      -38.878   .2926   20.000   .116E-04   .000E+00      -12.034   .4063   20.000   .105E-01   .000E+00
