 Tracer-Experiment W. Wichtmann, Drän = 1 Knoten                         
 
 Program HYDRUS2
 Date:  16. 8.    Time:  19:16:42
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mg   

 Max. number of iterations             30
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .100   .425    .440E-01    .119E+01    .179E+02   .500
    2     .100   .324    .317E-01    .122E+01    .102E+02   .500
    3     .000   .352    .282E-01    .119E+01    .212E+02   .500
    4     .100   .343    .236E-01    .115E+01    .219E+02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3522   -.123E-01  -.1910E+01   .4202E-03   .1280E+02   .1107E+01    1.0000
   .3522   -.140E-01  -.1855E+01   .4301E-03   .1263E+02   .1101E+01    1.0000
   .3522   -.158E-01  -.1800E+01   .4402E-03   .1244E+02   .1095E+01    1.0000
   .3522   -.180E-01  -.1746E+01   .4506E-03   .1226E+02   .1089E+01    1.0000
   .3522   -.204E-01  -.1691E+01   .4613E-03   .1208E+02   .1082E+01    1.0000
   .3522   -.231E-01  -.1637E+01   .4721E-03   .1189E+02   .1075E+01    1.0000
   .3522   -.262E-01  -.1582E+01   .4833E-03   .1169E+02   .1068E+01    1.0000
   .3522   -.297E-01  -.1528E+01   .4947E-03   .1150E+02   .1061E+01    1.0000
   .3522   -.336E-01  -.1473E+01   .5063E-03   .1130E+02   .1053E+01    1.0000
   .3522   -.381E-01  -.1419E+01   .5182E-03   .1110E+02   .1045E+01    1.0000
   .3522   -.432E-01  -.1364E+01   .5305E-03   .1090E+02   .1037E+01     .9999
   .3522   -.490E-01  -.1310E+01   .5429E-03   .1069E+02   .1029E+01     .9999
   .3522   -.556E-01  -.1255E+01   .5557E-03   .1048E+02   .1020E+01     .9999
   .3522   -.630E-01  -.1201E+01   .5688E-03   .1027E+02   .1012E+01     .9999
   .3522   -.714E-01  -.1146E+01   .5822E-03   .1005E+02   .1002E+01     .9999
   .3522   -.810E-01  -.1092E+01   .5958E-03   .9837E+01   .9929E+00     .9999
   .3522   -.918E-01  -.1037E+01   .6098E-03   .9617E+01   .9830E+00     .9999
   .3522   -.104E+00  -.9826E+00   .6241E-03   .9394E+01   .9729E+00     .9998
   .3522   -.118E+00  -.9281E+00   .6387E-03   .9169E+01   .9623E+00     .9998
   .3521   -.134E+00  -.8735E+00   .6537E-03   .8941E+01   .9514E+00     .9998
   .3521   -.152E+00  -.8190E+00   .6689E-03   .8711E+01   .9401E+00     .9998
   .3521   -.172E+00  -.7645E+00   .6845E-03   .8479E+01   .9283E+00     .9997
   .3521   -.195E+00  -.7100E+00   .7005E-03   .8244E+01   .9162E+00     .9997
   .3521   -.221E+00  -.6554E+00   .7167E-03   .8008E+01   .9035E+00     .9996
   .3521   -.251E+00  -.6009E+00   .7333E-03   .7769E+01   .8904E+00     .9996
   .3520   -.284E+00  -.5464E+00   .7503E-03   .7529E+01   .8767E+00     .9995
   .3520   -.322E+00  -.4919E+00   .7675E-03   .7287E+01   .8625E+00     .9994
   .3520   -.365E+00  -.4373E+00   .7851E-03   .7043E+01   .8478E+00     .9993
   .3519   -.414E+00  -.3828E+00   .8030E-03   .6798E+01   .8324E+00     .9992
   .3519   -.470E+00  -.3283E+00   .8211E-03   .6552E+01   .8164E+00     .9991
   .3518   -.532E+00  -.2738E+00   .8396E-03   .6306E+01   .7997E+00     .9989
   .3518   -.604E+00  -.2192E+00   .8583E-03   .6058E+01   .7823E+00     .9988
   .3517   -.684E+00  -.1647E+00   .8773E-03   .5810E+01   .7642E+00     .9986
   .3516   -.776E+00  -.1102E+00   .8965E-03   .5562E+01   .7452E+00     .9983
   .3515   -.880E+00  -.5567E-01   .9159E-03   .5314E+01   .7254E+00     .9981
   .3514   -.997E+00  -.1145E-02   .9353E-03   .5067E+01   .7047E+00     .9977
   .3513   -.113E+01   .5338E-01   .9549E-03   .4820E+01   .6830E+00     .9974
   .3512   -.128E+01   .1079E+00   .9745E-03   .4574E+01   .6603E+00     .9970
   .3510   -.145E+01   .1624E+00   .9939E-03   .4330E+01   .6365E+00     .9965
   .3508   -.165E+01   .2170E+00   .1013E-02   .4089E+01   .6116E+00     .9959
   .3506   -.187E+01   .2715E+00   .1032E-02   .3849E+01   .5854E+00     .9953
   .3503   -.212E+01   .3260E+00   .1051E-02   .3613E+01   .5578E+00     .9946
   .3500   -.240E+01   .3805E+00   .1069E-02   .3379E+01   .5288E+00     .9937
   .3497   -.272E+01   .4351E+00   .1086E-02   .3150E+01   .4984E+00     .9927
   .3493   -.309E+01   .4896E+00   .1102E-02   .2926E+01   .4662E+00     .9916
   .3488   -.350E+01   .5441E+00   .1118E-02   .2706E+01   .4324E+00     .9903
   .3483   -.397E+01   .5986E+00   .1131E-02   .2493E+01   .3967E+00     .9888
   .3477   -.450E+01   .6532E+00   .1143E-02   .2286E+01   .3590E+00     .9871
   .3470   -.510E+01   .7077E+00   .1153E-02   .2085E+01   .3192E+00     .9851
   .3462   -.578E+01   .7622E+00   .1161E-02   .1893E+01   .2771E+00     .9829
   .3453   -.656E+01   .8167E+00   .1166E-02   .1709E+01   .2327E+00     .9803
   .3443   -.743E+01   .8712E+00   .1167E-02   .1533E+01   .1857E+00     .9774
   .3431   -.843E+01   .9258E+00   .1165E-02   .1368E+01   .1360E+00     .9741
   .3418   -.956E+01   .9803E+00   .1160E-02   .1212E+01   .8341E-01     .9704
   .3403   -.108E+02   .1035E+01   .1150E-02   .1066E+01   .2785E-01     .9662
   .3387   -.123E+02   .1089E+01   .1135E-02   .9314E+00  -.3087E-01     .9615
