 ************************************************************************
 *                                                                      *
 *                                                                      *
 *        Tension Permeameter - Riverside data, 10cm radius, 1 run      *
 *        Cumulative infiltration                                       *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb).............1017


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .000
 SATURATED MOISTURE CONTENT..........(WCS)............      .330
 FIRST COEFFICIENT...................(ALPHA)..........      .045
 SECOND COEFFICIENT..................(N)..............     2.000
 SATURATED CONDUCTIVITY..............(CONDS).......... .1000E-03
 PORE CONECTIVITY FACTOR.............(L)..............     -.500


 Observed QUANTITY 
 ==================
    OBS     HRS     QUANTITY     TYPE  POSITION   WEIGHT
   506   1045.000    -53.453       0     3       .000097
   507   1075.000    -56.103       0     3       .000097
   508   1105.000    -55.168       0     3       .000097
   509   1135.000    -59.064       0     3       .000097
   510   1165.000    -59.064       0     3       .000097
   511   1195.000    -62.180       0     3       .000097
   512   1225.000    -63.427       0     3       .000097
   513   1255.000    -64.830       0     3       .000097
   514   1285.000    -64.986       0     3       .000097
   515   1315.000    -66.076       0     3       .000097
   516   1345.000    -67.791       0     3       .000097
   517   1375.000    -69.505       0     3       .000097
   518   1405.000    -70.284       0     3       .000097
   519   1435.000    -74.180       0     3       .000097
   520   1465.000    -73.713       0     3       .000097
   521   1495.000    -75.427       0     3       .000097
   522   1525.000    -79.323       0     3       .000097
   523   1555.000    -78.076       0     3       .000097
   524   1585.000    -79.790       0     3       .000097
   525   1615.000    -80.102       0     3       .000097
   526   1645.000    -80.414       0     3       .000097
   527   1675.000    -82.284       0     3       .000097
   528   1705.000    -82.907       0     3       .000097
   529   1735.000    -84.310       0     3       .000097
   530   1765.000    -87.115       0     3       .000097
   531   1795.000    -87.271       0     3       .000097
   532   1825.000    -89.453       0     3       .000097
   533   1855.000    -91.323       0     3       .000097
   534   1885.000    -91.323       0     3       .000097
   535   1915.000    -90.855       0     3       .000097
   536   1945.000    -97.245       0     3       .000097
   537   1975.000    -93.816       0     3       .000097
   538   2005.000    -97.400       0     3       .000097
   539   2035.000    -97.556       0     3       .000097
   540   2065.000   -100.361       0     3       .000097
   541   2095.000    -98.180       0     3       .000097
   542   2125.000    -98.180       0     3       .000097
   543   2155.000   -103.011       0     3       .000097
   544   2185.000   -101.141       0     3       .000097
   545   2215.000   -106.283       0     3       .000097
   546   2245.000   -104.725       0     3       .000097
   547   2275.000   -105.972       0     3       .000097
   548   2305.000   -108.465       0     3       .000097
   549   2335.000   -110.335       0     3       .000097
   550   2365.000   -110.803       0     3       .000097
   551   2395.000   -113.296       0     3       .000097
   552   2425.000   -112.361       0     3       .000097
   553   2455.000   -115.946       0     3       .000097
   554   2485.000   -117.192       0     3       .000097
   555   2515.000   -115.322       0     3       .000097
   556   2545.000   -119.530       0     3       .000097
   557   2575.000   -119.530       0     3       .000097
   558   2605.000   -120.465       0     3       .000097
   559   2635.000   -122.803       0     3       .000097
   560   2665.000   -122.023       0     3       .000097
   561   2695.000   -122.647       0     3       .000097
   562   2725.000   -125.296       0     3       .000097
   563   2755.000   -124.517       0     3       .000097
   564   2785.000   -125.763       0     3       .000097
   565   2815.000   -128.880       0     3       .000097
   566   2845.000   -127.010       0     3       .000097
   567   2875.000   -129.504       0     3       .000097
   568   2905.000   -132.776       0     3       .000097
   569   2935.000   -132.776       0     3       .000097
   570   2965.000   -135.114       0     3       .000097
   571   2995.000   -135.426       0     3       .000097
   572   3025.000   -135.426       0     3       .000097
   573   3055.000   -138.542       0     3       .000097
   574   3085.000   -137.607       0     3       .000097
   575   3115.000   -138.542       0     3       .000097
   576   3145.000   -139.010       0     3       .000097
   577   3175.000   -141.036       0     3       .000097
   578   3205.000   -142.283       0     3       .000097
   579   3235.000   -142.906       0     3       .000097
   580   3265.000   -146.646       0     3       .000097
   581   3295.000   -146.334       0     3       .000097
   582   3325.000   -145.711       0     3       .000097
   583   3355.000   -145.399       0     3       .000097
   584   3385.000   -147.581       0     3       .000097
   585   3390.000   -147.425       0     3       .000097
   586   3395.000   -148.360       0     3       .000097
   587   3400.000   -146.802       0     3       .000097
   588   3405.000   -154.594       0     3       .000097
   589   3410.000   -153.659       0     3       .000097
   590   3415.000   -158.023       0     3       .000097
   591   3420.000   -161.139       0     3       .000097
   592   3425.000   -160.672       0     3       .000097
   593   3430.000   -161.763       0     3       .000097
   594   3435.000   -163.321       0     3       .000097
   595   3440.000   -165.970       0     3       .000097
   596   3445.000   -165.970       0     3       .000097
   597   3450.000   -166.594       0     3       .000097
   598   3455.000   -165.815       0     3       .000097
   599   3460.000   -168.776       0     3       .000097
   600   3465.000   -169.087       0     3       .000097
   601   3470.000   -170.957       0     3       .000097
   602   3475.000   -175.165       0     3       .000097
   603   3480.000   -171.581       0     3       .000097
   604   3485.000   -172.204       0     3       .000097
   605   3490.000   -174.074       0     3       .000097
   606   3495.000   -175.165       0     3       .000097
   607   3500.000   -175.788       0     3       .000097
   608   3505.000   -175.477       0     3       .000097
   609   3510.000   -175.944       0     3       .000097
   610   3515.000   -179.529       0     3       .000097
   611   3520.000   -179.217       0     3       .000097
   612   3525.000   -180.152       0     3       .000097
   613   3530.000   -180.464       0     3       .000097
