


                       Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    210.000   -100.000   .2426   20.000      -99.533   .2429   20.000      -50.240   .3025   20.000
    220.000   -100.000   .2426   20.000      -99.406   .2430   20.000      -49.570   .3036   20.000
    230.000   -100.000   .2426   20.000      -99.259   .2431   20.000      -48.897   .3047   20.000
    240.000   -100.000   .2426   20.000      -99.090   .2432   20.000      -48.223   .3059   20.000
    250.000   -100.000   .2426   20.000      -98.897   .2434   20.000      -47.537   .3071   20.000
    262.500   -100.000   .2426   20.000      -98.618   .2436   20.000      -46.696   .3088   20.000
    275.000   -100.000   .2426   20.000      -98.295   .2438   20.000      -45.889   .3105   20.000
    287.500   -100.000   .2426   20.000      -97.926   .2441   20.000      -45.105   .3121   20.000
    300.000    -99.999   .2426   20.000      -97.508   .2444   20.000      -44.343   .3137   20.000
    312.500    -99.999   .2426   20.000      -97.040   .2448   20.000      -43.602   .3152   20.000
    325.000    -99.999   .2426   20.000      -96.517   .2451   20.000      -42.883   .3167   20.000
    337.500    -99.998   .2426   20.000      -95.937   .2456   20.000      -42.184   .3182   20.000
    350.000    -99.998   .2426   20.000      -95.298   .2461   20.000      -41.502   .3196   20.000
    362.500    -99.997   .2426   20.000      -94.596   .2468   20.000      -40.837   .3210   20.000
    375.000    -99.995   .2426   20.000      -93.813   .2476   20.000      -40.192   .3223   20.000
    387.500    -99.994   .2426   20.000      -92.948   .2484   20.000      -39.562   .3236   20.000
    400.000    -99.992   .2426   20.000      -92.000   .2494   20.000      -38.951   .3249   20.000
    412.500    -99.990   .2426   20.000      -90.975   .2504   20.000      -38.357   .3261   20.000
    425.000    -99.987   .2426   20.000      -89.876   .2515   20.000      -37.780   .3273   20.000
    437.500    -99.984   .2426   20.000      -88.708   .2526   20.000      -37.225   .3286   20.000
    450.000    -99.979   .2426   20.000      -87.476   .2538   20.000      -36.693   .3299   20.000
    462.500    -99.974   .2426   20.000      -86.188   .2551   20.000      -36.183   .3312   20.000
    475.000    -99.969   .2426   20.000      -84.850   .2564   20.000      -35.686   .3325   20.000
    500.000    -99.952   .2426   20.000      -82.012   .2593   20.000      -34.774   .3347   20.000
    516.667    -99.938   .2426   20.000      -80.065   .2612   20.000      -34.180   .3362   20.000
    533.333    -99.921   .2426   20.000      -78.069   .2632   20.000      -33.616   .3375   20.000
    550.000    -99.901   .2427   20.000      -76.039   .2652   20.000      -33.069   .3389   20.000
    566.667    -99.876   .2427   20.000      -74.036   .2677   20.000      -32.532   .3403   20.000
    600.000    -99.805   .2427   20.000      -70.207   .2727   20.000      -31.533   .3427   20.000
    625.000    -99.737   .2428   20.000      -67.466   .2763   20.000      -30.804   .3445   20.000
    650.000    -99.650   .2428   20.000      -64.830   .2798   20.000      -30.107   .3462   20.000
