 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:      2.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   35   72  -15.0   70.0   -4   .000E+00   .000E+00      -44.4   .314     20.00  .525E-01
   36   73  -20.0   70.0   -4   .000E+00   .000E+00      -41.2   .320     20.00  .980E-01
   37   74  -24.0   66.5   -4   .000E+00   .000E+00      -33.3   .338     20.00  .204E+00
   38   75  -27.8   63.2   -4   .000E+00   .000E+00      -25.3   .360     20.00  .371E+00
   39   76  -31.6   59.8   -4   .000E+00   .000E+00      -18.4   .380     20.00  .533E+00
   40   77  -35.3   56.6   -4   .000E+00   .000E+00      -12.3   .400     20.00  .662E+00
   41   78  -39.0   53.4   -4   .000E+00   .000E+00       -6.5   .418     20.00  .753E+00
   42   79  -42.6   50.3    1   .640E+02  -.136E+02        -.3   .430     20.00  .891E+00
   43   80  -46.1   47.2    1   .464E+02  -.101E+02        2.8   .430     20.00  .894E+00
   44   81  -49.5   44.2    1   .354E+02  -.788E+01        5.8   .430     20.00  .890E+00
   45   82  -52.8   41.3    1   .290E+02  -.660E+01        8.7   .430     20.00  .876E+00
   46   83  -56.1   38.4    1   .248E+02  -.578E+01       11.6   .430     20.00  .860E+00
   47   84  -59.3   35.6    1   .213E+02  -.509E+01       14.4   .430     20.00  .839E+00
   48   85  -62.4   32.9    1   .183E+02  -.449E+01       17.1   .430     20.00  .816E+00
   49   86  -65.4   30.2    1   .159E+02  -.398E+01       19.8   .430     20.00  .790E+00
   50   87  -68.4   27.7    1   .137E+02  -.352E+01       22.3   .430     20.00  .762E+00
   51   88  -71.3   25.1    1   .118E+02  -.312E+01       24.9   .430     20.00  .733E+00
   52   89  -74.1   22.7    1   .101E+02  -.275E+01       27.3   .430     20.00  .699E+00
   53   90  -76.8   20.3    1   .859E+01  -.240E+01       29.7   .430     20.00  .664E+00
   54   91  -79.5   17.9    1   .721E+01  -.207E+01       32.1   .430     20.00  .626E+00
   55   92  -82.1   15.7    1   .599E+01  -.177E+01       34.3   .430     20.00  .584E+00
   56   93  -84.6   13.5    1   .480E+01  -.146E+01       36.5   .430     20.00  .537E+00
   57   94  -87.0   11.4    1   .383E+01  -.120E+01       38.6   .430     20.00  .491E+00
   58   95  -89.4    9.3    1   .297E+01  -.966E+00       40.7   .430     20.00  .441E+00
   59   96  -91.6    7.3    1   .208E+01  -.699E+00       42.7   .430     20.00  .391E+00
   60   97  -93.8    5.4    1   .141E+01  -.491E+00       44.6   .430     20.00  .347E+00
   61   98  -96.0    3.5    1   .839E+00  -.302E+00       46.5   .430     20.00  .310E+00
   62   99  -98.0    1.7    1   .337E+00  -.126E+00       48.3   .430     20.00  .283E+00


 Time:     10.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1 -100.0     .0    1   .228E-01  -.174E-01       50.0   .430     20.00  .346E+00
    2   39  100.0     .0    1  -.888E-01   .655E-01       10.0   .430     20.00  .286E-05
    3   40   97.8    1.6    1  -.173E+01   .628E+00        8.4   .430     20.00  .440E-05
    4   41   95.5    3.2    1  -.555E+01   .195E+01        6.8   .430     20.00  .867E-05
    5   42   93.1    4.8    1  -.112E+02   .382E+01        5.2   .430     20.00  .162E-04
    6   43   90.7    6.5    1  -.190E+02   .624E+01        3.5   .430     20.00  .284E-04
    7   44   88.1    8.3    1  -.295E+02   .942E+01        1.7   .430     20.00  .504E-04
    8   45   85.5   10.1    1  -.648E+02   .201E+02        -.1   .430     20.00  .820E-04
    9   46   82.8   12.0    2  -.315E+02   .949E+01         .0   .430     20.00  .109E-03
   10   47   80.1   13.9    2  -.232E+02   .679E+01         .0   .430     20.00  .128E-03
   11   48   77.2   15.9    2  -.150E+02   .428E+01         .0   .430     20.00  .141E-03
   12   49   74.3   18.0    2  -.115E+01   .319E+00         .0   .430     20.00  .158E-03
   13   50   71.3   20.1   -2   .000E+00   .000E+00        -.5   .430     20.00  .178E-03
   14   51   68.3   22.2   -2   .000E+00   .000E+00       -1.2   .429     20.00  .209E-03
   15   52   65.1   24.4   -2   .000E+00   .000E+00       -2.2   .428     20.00  .243E-03
   16   53   61.9   26.7   -2   .000E+00   .000E+00       -3.3   .426     20.00  .261E-03
   17   54   58.6   29.0   -2   .000E+00   .000E+00       -4.4   .423     20.00  .297E-03
   18   55   55.2   31.3   -2   .000E+00   .000E+00       -5.7   .420     20.00  .375E-03
   19   56   51.8   33.7   -2   .000E+00   .000E+00       -7.1   .416     20.00  .372E-03
   20   57   48.3   36.2   -2   .000E+00   .000E+00       -8.6   .412     20.00  .446E-03
   21   58   44.7   38.7   -2   .000E+00   .000E+00      -10.1   .407     20.00  .525E-03
   22   59   41.0   41.3   -2   .000E+00   .000E+00      -11.8   .402     20.00  .643E-03
   23   60   37.2   43.9   -2   .000E+00   .000E+00      -13.5   .396     20.00  .747E-03
   24   61   33.4   46.6   -2   .000E+00   .000E+00      -15.5   .390     20.00  .101E-02
   25   62   29.5   49.3   -2   .000E+00   .000E+00      -17.5   .383     20.00  .137E-02
