 Flow under a dam                                                        
 
 Program HYDRUS2
 Date:  18. 2.    Time:  11:49:50
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     25.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .733E-02
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .541E-03
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .634E-03
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .854E-03
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .132E-02
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .203E-02
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .303E-02
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .446E-02
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .601E-02
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .742E-02
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .872E-02
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .944E-02
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .891E-02
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .745E-02
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .483E-02
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .236E-02
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00  .670E-03


 Time:    400.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .114E-03
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00 -.357E-07
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00 -.204E-06
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .569E-05
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .387E-04
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .207E-03
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .777E-03
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .277E-02
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .697E-02
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .158E-01
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .282E-01
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .417E-01
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .514E-01
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .533E-01
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .469E-01
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .379E-01
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .343E-01
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .208E-03
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .228E-03
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .270E-03
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .363E-03
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .499E-03
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .697E-03
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .989E-03
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .133E-02
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .167E-02
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .203E-02
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .227E-02
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .223E-02
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .198E-02
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .141E-02
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .794E-03
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00  .312E-03


 Time:    500.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .667E-04
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00 -.116E-05
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00  .755E-05
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .127E-03
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .626E-03
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .242E-02
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .696E-02
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .173E-01
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .338E-01
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .571E-01
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .800E-01
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .963E-01
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .100E+00
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .924E-01
