


                               Node(231)                                           Node(269)                                           Node(303)                                           Node(337)                                           Node(378)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .042  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .043  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .044  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .045  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .046  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .048  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .049  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .050  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .051  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .052  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .053  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .055  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .056  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .057  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .058  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .059  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .061  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .062  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .064  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .065  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .067  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
       .068  -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00    -1000.000   .1104   20.000   .000E+00   .000E+00
