


                               Node(655)                                           Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
    117.514    -12.423   .3997   20.000   .725E-10   .000E+00       15.219   .4300   20.000   .733E+00   .000E+00       47.348   .4300   20.000   .000E+00   .000E+00      -32.841   .3394   20.000   .000E+00   .000E+00        2.025   .4300   20.000   .829E-17   .000E+00
    118.364    -12.641   .3990   20.000   .748E-10   .000E+00       14.966   .4300   20.000   .740E+00   .000E+00       47.331   .4300   20.000   .000E+00   .000E+00      -32.970   .3391   20.000   .000E+00   .000E+00        1.820   .4300   20.000   .110E-16   .000E+00
    119.215    -12.846   .3983   20.000   .772E-10   .000E+00       14.727   .4300   20.000   .746E+00   .000E+00       47.316   .4300   20.000   .000E+00   .000E+00      -33.092   .3388   20.000   .000E+00   .000E+00        1.623   .4300   20.000   .146E-16   .000E+00
    120.065    -13.037   .3977   20.000   .796E-10   .000E+00       14.500   .4300   20.000   .753E+00   .000E+00       47.301   .4300   20.000   .000E+00   .000E+00      -33.207   .3385   20.000   .000E+00   .000E+00        1.434   .4300   20.000   .193E-16   .000E+00
    120.915    -13.217   .3971   20.000   .820E-10   .000E+00       14.285   .4300   20.000   .759E+00   .000E+00       47.286   .4300   20.000   .000E+00   .000E+00      -33.315   .3383   20.000   .000E+00   .000E+00        1.255   .4300   20.000   .255E-16   .000E+00
    121.766    -13.386   .3966   20.000   .844E-10   .000E+00       14.078   .4300   20.000   .765E+00   .000E+00       47.272   .4300   20.000   .000E+00   .000E+00      -33.418   .3380   20.000   .000E+00   .000E+00        1.084   .4300   20.000   .336E-16   .000E+00
    122.616    -13.547   .3961   20.000   .868E-10   .000E+00       13.882   .4300   20.000   .771E+00   .000E+00       47.259   .4300   20.000   .000E+00   .000E+00      -33.515   .3378   20.000   .000E+00   .000E+00         .921   .4300   20.000   .443E-16   .000E+00
    123.466    -13.701   .3956   20.000   .893E-10   .000E+00       13.694   .4300   20.000   .776E+00   .000E+00       47.247   .4300   20.000   .000E+00   .000E+00      -33.607   .3375   20.000   .000E+00   .000E+00         .765   .4300   20.000   .582E-16   .000E+00
    124.317    -13.847   .3951   20.000   .918E-10   .000E+00       13.515   .4300   20.000   .782E+00   .000E+00       47.233   .4300   20.000   .140E-29   .000E+00      -33.694   .3373   20.000   .000E+00   .000E+00         .616   .4300   20.000   .763E-16   .000E+00
    125.167    -13.987   .3946   20.000   .944E-10   .000E+00       13.343   .4300   20.000   .787E+00   .000E+00       47.220   .4300   20.000   .327E-29   .000E+00      -33.776   .3371   20.000   .000E+00   .000E+00         .474   .4300   20.000   .100E-15   .000E+00
    126.018    -14.120   .3942   20.000   .970E-10   .000E+00       13.179   .4300   20.000   .792E+00   .000E+00       47.208   .4300   20.000   .580E-29   .000E+00      -33.855   .3369   20.000   .000E+00   .000E+00         .338   .4300   20.000   .131E-15   .000E+00
    126.868    -14.247   .3938   20.000   .996E-10   .000E+00       13.023   .4300   20.000   .797E+00   .000E+00       47.196   .4300   20.000   .929E-29   .000E+00      -33.930   .3367   20.000   .000E+00   .000E+00         .209   .4300   20.000   .170E-15   .000E+00
    127.718    -14.368   .3934   20.000   .102E-09   .000E+00       12.872   .4300   20.000   .802E+00   .000E+00       47.184   .4300   20.000   .141E-28   .000E+00      -34.001   .3366   20.000   .000E+00   .000E+00         .084   .4300   20.000   .222E-15   .000E+00
    128.569    -14.483   .3930   20.000   .105E-09   .000E+00       12.728   .4300   20.000   .807E+00   .000E+00       47.173   .4300   20.000   .207E-28   .000E+00      -34.069   .3364   20.000   .000E+00   .000E+00        -.035   .4300   20.000   .288E-15   .000E+00
    129.419    -14.594   .3927   20.000   .108E-09   .000E+00       12.590   .4300   20.000   .811E+00   .000E+00       47.162   .4300   20.000   .297E-28   .000E+00      -34.133   .3362   20.000   .000E+00   .000E+00        -.148   .4300   20.000   .372E-15   .000E+00
    130.269    -14.699   .3923   20.000   .111E-09   .000E+00       12.457   .4300   20.000   .816E+00   .000E+00       47.152   .4300   20.000   .422E-28   .000E+00      -34.195   .3361   20.000   .000E+00   .000E+00        -.257   .4299   20.000   .478E-15   .000E+00
    131.120    -14.799   .3920   20.000   .113E-09   .000E+00       12.329   .4300   20.000   .820E+00   .000E+00       47.142   .4300   20.000   .592E-28   .000E+00      -34.254   .3359   20.000   .000E+00   .000E+00        -.361   .4299   20.000   .614E-15   .000E+00
    131.970    -14.895   .3917   20.000   .116E-09   .000E+00       12.208   .4300   20.000   .824E+00   .000E+00       47.132   .4300   20.000   .824E-28   .000E+00      -34.310   .3358   20.000   .000E+00   .000E+00        -.462   .4298   20.000   .787E-15   .000E+00
    132.821    -14.986   .3914   20.000   .119E-09   .000E+00       12.091   .4300   20.000   .828E+00   .000E+00       47.123   .4300   20.000   .114E-27   .000E+00      -34.364   .3357   20.000   .000E+00   .000E+00        -.558   .4297   20.000   .101E-14   .000E+00
    133.671    -15.074   .3911   20.000   .122E-09   .000E+00       11.979   .4300   20.000   .832E+00   .000E+00       47.115   .4300   20.000   .157E-27   .000E+00      -34.415   .3355   20.000   .000E+00   .000E+00        -.653   .4296   20.000   .129E-14   .000E+00
    134.521    -15.158   .3909   20.000   .125E-09   .000E+00       11.872   .4300   20.000   .836E+00   .000E+00       47.106   .4300   20.000   .216E-27   .000E+00      -34.464   .3354   20.000   .000E+00   .000E+00        -.748   .4296   20.000   .164E-14   .000E+00
    135.372    -15.238   .3906   20.000   .128E-09   .000E+00       11.767   .4300   20.000   .839E+00   .000E+00       47.098   .4300   20.000   .295E-27   .000E+00      -34.510   .3353   20.000   .000E+00   .000E+00        -.837   .4295   20.000   .209E-14   .000E+00
    136.222    -15.315   .3904   20.000   .131E-09   .000E+00       11.668   .4300   20.000   .843E+00   .000E+00       47.090   .4300   20.000   .402E-27   .000E+00      -34.555   .3352   20.000   .000E+00   .000E+00        -.922   .4294   20.000   .266E-14   .000E+00
    137.072    -15.390   .3901   20.000   .135E-09   .000E+00       11.573   .4300   20.000   .846E+00   .000E+00       47.083   .4300   20.000   .546E-27   .000E+00      -34.598   .3351   20.000   .000E+00   .000E+00       -1.004   .4293   20.000   .338E-14   .000E+00
    137.923    -15.461   .3899   20.000   .138E-09   .000E+00       11.482   .4300   20.000   .849E+00   .000E+00       47.076   .4300   20.000   .741E-27   .000E+00      -34.639   .3350   20.000   .000E+00   .000E+00       -1.082   .4292   20.000   .429E-14   .000E+00
    138.773    -15.530   .3897   20.000   .141E-09   .000E+00       11.396   .4300   20.000   .852E+00   .000E+00       47.069   .4300   20.000   .100E-26   .000E+00      -34.677   .3349   20.000   .000E+00   .000E+00       -1.156   .4291   20.000   .542E-14   .000E+00
    139.624    -15.595   .3895   20.000   .144E-09   .000E+00       11.313   .4300   20.000   .855E+00   .000E+00       47.062   .4300   20.000   .135E-26   .000E+00      -34.714   .3348   20.000   .000E+00   .000E+00       -1.228   .4290   20.000   .685E-14   .000E+00
    140.474    -15.659   .3893   20.000   .147E-09   .000E+00       11.234   .4300   20.000   .858E+00   .000E+00       47.056   .4300   20.000   .183E-26   .000E+00      -34.750   .3347   20.000   .000E+00   .000E+00       -1.294   .4289   20.000   .863E-14   .000E+00
