


                       Node( 23)                     Node( 28)                     Node(193)                     Node(988)                     Node(669)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
      1.124    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.139    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.154    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.170    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.185    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.201    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.218    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.237    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.257    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.278    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.298    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.319    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.341    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.364    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.387    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.409    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.432    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.454    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.477    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.499    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.522    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.547    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.572    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.597    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.624    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.651    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.679    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.706    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.734    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.761    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.789    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.816    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.844    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.871    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.901    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.931    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.961    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.991    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.021    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.052    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.082    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.112    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.142    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.175    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.208    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.245    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.284    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.328    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.372    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.416    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.460    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.503    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.547    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.591    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.635    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.679    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.722    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.766    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.810    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.859    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.907    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      2.956    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.005    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.053    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.102    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.151    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
