 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     QsW  AlfaW      KsW

    1     .029   .366    .280E-01    .224E+01    .541E+03   .500   .366   .366   .056    .541E+03
    2     .106   .469    .520E-02    .140E+01    .131E+02   .500   .469   .469   .010    .131E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .4686   -.523E-01  -.1282E+01   .2902E-04   .1210E+02   .1083E+01    1.0000
   .4686   -.605E-01  -.1218E+01   .3075E-04   .1204E+02   .1081E+01    1.0000
   .4686   -.701E-01  -.1154E+01   .3258E-04   .1198E+02   .1079E+01    1.0000
   .4686   -.812E-01  -.1091E+01   .3453E-04   .1192E+02   .1076E+01    1.0000
   .4686   -.940E-01  -.1027E+01   .3659E-04   .1185E+02   .1074E+01    1.0000
   .4686   -.109E+00  -.9633E+00   .3877E-04   .1177E+02   .1071E+01    1.0000
   .4686   -.126E+00  -.8997E+00   .4108E-04   .1170E+02   .1068E+01    1.0000
   .4686   -.146E+00  -.8360E+00   .4353E-04   .1162E+02   .1065E+01    1.0000
   .4686   -.169E+00  -.7724E+00   .4613E-04   .1153E+02   .1062E+01    1.0000
   .4686   -.196E+00  -.7087E+00   .4888E-04   .1144E+02   .1058E+01    1.0000
   .4686   -.226E+00  -.6451E+00   .5179E-04   .1134E+02   .1055E+01    1.0000
   .4686   -.262E+00  -.5814E+00   .5488E-04   .1124E+02   .1051E+01    1.0000
   .4686   -.304E+00  -.5178E+00   .5815E-04   .1114E+02   .1047E+01    1.0000
   .4686   -.351E+00  -.4541E+00   .6162E-04   .1103E+02   .1042E+01    1.0000
   .4686   -.407E+00  -.3905E+00   .6529E-04   .1091E+02   .1038E+01     .9999
   .4686   -.471E+00  -.3268E+00   .6919E-04   .1078E+02   .1033E+01     .9999
   .4686   -.546E+00  -.2632E+00   .7331E-04   .1065E+02   .1027E+01     .9999
   .4686   -.632E+00  -.1995E+00   .7768E-04   .1051E+02   .1022E+01     .9999
   .4686   -.731E+00  -.1359E+00   .8230E-04   .1037E+02   .1016E+01     .9999
   .4685   -.847E+00  -.7225E-01   .8720E-04   .1021E+02   .1009E+01     .9999
   .4685   -.980E+00  -.8602E-02   .9239E-04   .1005E+02   .1002E+01     .9998
   .4685   -.114E+01   .5505E-01   .9788E-04   .9884E+01   .9949E+00     .9998
   .4685   -.131E+01   .1187E+00   .1037E-03   .9706E+01   .9871E+00     .9997
   .4685   -.152E+01   .1823E+00   .1099E-03   .9520E+01   .9786E+00     .9997
   .4685   -.176E+01   .2460E+00   .1164E-03   .9324E+01   .9696E+00     .9996
   .4684   -.204E+01   .3096E+00   .1233E-03   .9119E+01   .9600E+00     .9995
   .4684   -.236E+01   .3733E+00   .1305E-03   .8904E+01   .9496E+00     .9994
   .4683   -.273E+01   .4369E+00   .1382E-03   .8680E+01   .9385E+00     .9993
   .4683   -.317E+01   .5006E+00   .1464E-03   .8445E+01   .9266E+00     .9991
