


                               Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .402  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -41.198   .1419   20.000   .558E+00   .000E+00      -23.279   .2208   20.000   .942E+00   .000E+00
       .408   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -39.296   .1474   20.000   .570E+00   .000E+00      -23.272   .2209   20.000   .944E+00   .000E+00
       .415   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -37.779   .1526   20.000   .581E+00   .000E+00      -23.266   .2209   20.000   .945E+00   .000E+00
       .422  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -36.361   .1574   20.000   .591E+00   .000E+00      -23.260   .2210   20.000   .946E+00   .000E+00
       .428   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -35.077   .1619   20.000   .600E+00   .000E+00      -23.254   .2210   20.000   .948E+00   .000E+00
       .435   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -34.025   .1658   20.000   .610E+00   .000E+00      -23.249   .2210   20.000   .949E+00   .000E+00
       .442   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -33.126   .1697   20.000   .618E+00   .000E+00      -23.244   .2211   20.000   .950E+00   .000E+00
       .448  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -32.299   .1732   20.000   .626E+00   .000E+00      -23.240   .2211   20.000   .951E+00   .000E+00
       .455  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -31.573   .1764   20.000   .633E+00   .000E+00      -23.236   .2211   20.000   .952E+00   .000E+00
       .462   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -30.910   .1792   20.000   .641E+00   .000E+00      -23.232   .2211   20.000   .953E+00   .000E+00
       .468   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -30.344   .1817   20.000   .647E+00   .000E+00      -23.228   .2212   20.000   .955E+00   .000E+00
       .475   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -29.821   .1840   20.000   .654E+00   .000E+00      -23.225   .2212   20.000   .956E+00   .000E+00
       .482   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -29.381   .1862   20.000   .660E+00   .000E+00      -23.222   .2212   20.000   .957E+00   .000E+00
       .488   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -28.980   .1883   20.000   .667E+00   .000E+00      -23.219   .2212   20.000   .958E+00   .000E+00
       .495   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -28.626   .1902   20.000   .673E+00   .000E+00      -23.216   .2212   20.000   .959E+00   .000E+00
       .501   -999.999   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -28.297   .1919   20.000   .679E+00   .000E+00      -23.214   .2213   20.000   .960E+00   .000E+00
