 Irrigation from pond                                                    
 
 Program HYDRUS2
 Date:  14.12.    Time:   8:56:15
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:       .2000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   10   75   45.2   78.6    1   .227E+02  -.283E+01        3.1   .430     23.71  .922E+00
   11   76   37.2   77.8    1   .189E+02  -.235E+01        3.8   .430     23.57  .898E+00
   12   77   29.2   77.2    1   .161E+02  -.200E+01        4.4   .430     23.45  .878E+00
   13   78   21.1   76.9    1   .144E+02  -.178E+01        4.8   .430     23.36  .861E+00
   14   79   13.0   76.7    1   .135E+02  -.167E+01        5.0   .430     23.30  .851E+00
   15   80    4.9   76.7    1   .134E+02  -.166E+01        5.0   .430     23.30  .850E+00
   16   81   -3.2   76.9    1   .142E+02  -.174E+01        4.8   .430     23.33  .859E+00
   17   82  -11.3   77.2    1   .157E+02  -.194E+01        4.5   .430     23.41  .875E+00
   18   83  -19.4   77.8    1   .183E+02  -.225E+01        3.9   .430     23.52  .896E+00
   19   84  -27.5   78.5    1   .221E+02  -.272E+01        3.2   .430     23.65  .919E+00
   20   85  -35.5   79.4    1   .278E+02  -.344E+01        2.3   .430     23.78  .939E+00
   21   86  -43.6   80.4    1   .363E+02  -.449E+01        1.2   .430     23.90  .956E+00
   22   87  -51.6   81.7    1   .494E+02  -.612E+01         .0   .430     23.97  .962E+00
   23   88  -59.5   83.0    1   .890E+02  -.221E+02       -1.4   .429     24.00  .959E+00


 Time:      5.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.209E+03   .285E+02        5.3   .460     20.44  .169E-01
    2   18 -200.0     .0    1  -.528E+02   .720E+01       20.0   .460     20.44  .524E-02
    3   44  200.0     .0    1  -.545E+02   .743E+01       20.0   .460     20.73  .166E-01
    4   45  200.0   14.7    1  -.245E+03   .335E+02        5.3   .460     20.74  .509E-01
    5   70   84.3   85.5    1   .645E+02  -.163E+02       -3.9   .424     24.02  .957E+00
    6   71   76.6   83.7    1   .555E+02  -.702E+01       -2.1   .428     24.17  .973E+00
    7   72   68.9   82.1    1   .431E+02  -.542E+01        -.5   .430     24.19  .973E+00
    8   73   61.0   80.8    1   .352E+02  -.441E+01         .9   .430     24.13  .966E+00
    9   74   53.2   79.6    1   .275E+02  -.344E+01        2.1   .430     24.01  .951E+00
   10   75   45.2   78.6    1   .223E+02  -.278E+01        3.1   .430     23.88  .934E+00
   11   76   37.2   77.8    1   .185E+02  -.230E+01        3.8   .430     23.75  .912E+00
   12   77   29.2   77.2    1   .158E+02  -.196E+01        4.4   .430     23.64  .893E+00
   13   78   21.1   76.9    1   .141E+02  -.175E+01        4.8   .430     23.55  .876E+00
   14   79   13.0   76.7    1   .132E+02  -.164E+01        5.0   .430     23.50  .866E+00
   15   80    4.9   76.7    1   .132E+02  -.162E+01        5.0   .430     23.49  .865E+00
   16   81   -3.2   76.9    1   .139E+02  -.171E+01        4.8   .430     23.52  .874E+00
   17   82  -11.3   77.2    1   .154E+02  -.190E+01        4.5   .430     23.59  .890E+00
   18   83  -19.4   77.8    1   .179E+02  -.220E+01        3.9   .430     23.69  .910E+00
   19   84  -27.5   78.5    1   .216E+02  -.267E+01        3.2   .430     23.81  .931E+00
   20   85  -35.5   79.4    1   .273E+02  -.336E+01        2.3   .430     23.94  .949E+00
   21   86  -43.6   80.4    1   .356E+02  -.440E+01        1.2   .430     24.05  .964E+00
   22   87  -51.6   81.7    1   .484E+02  -.600E+01         .0   .430     24.10  .970E+00
   23   88  -59.5   83.0    1   .873E+02  -.217E+02       -1.4   .429     24.13  .967E+00


 Time:      6.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.212E+03   .288E+02        5.3   .460     20.62  .389E-01
    2   18 -200.0     .0    1  -.535E+02   .729E+01       20.0   .460     20.62  .144E-01
    3   44  200.0     .0    1  -.549E+02   .749E+01       20.0   .460     20.97  .368E-01
    4   45  200.0   14.7    1  -.248E+03   .338E+02        5.3   .460     20.98  .966E-01
    5   70   84.3   85.5    1   .642E+02  -.162E+02       -3.9   .424     24.17  .965E+00
    6   71   76.6   83.7    1   .551E+02  -.696E+01       -2.1   .428     24.32  .978E+00
    7   72   68.9   82.1    1   .427E+02  -.537E+01        -.5   .430     24.35  .978E+00
    8   73   61.0   80.8    1   .348E+02  -.437E+01         .9   .430     24.29  .972E+00
    9   74   53.2   79.6    1   .273E+02  -.341E+01        2.1   .430     24.18  .959E+00
   10   75   45.2   78.6    1   .221E+02  -.276E+01        3.1   .430     24.06  .943E+00
   11   76   37.2   77.8    1   .183E+02  -.228E+01        3.8   .430     23.93  .924E+00
   12   77   29.2   77.2    1   .157E+02  -.194E+01        4.4   .430     23.83  .905E+00
   13   78   21.1   76.9    1   .140E+02  -.173E+01        4.8   .430     23.74  .889E+00
   14   79   13.0   76.7    1   .131E+02  -.162E+01        5.0   .430     23.69  .879E+00
   15   80    4.9   76.7    1   .130E+02  -.161E+01        5.0   .430     23.68  .878E+00
   16   81   -3.2   76.9    1   .137E+02  -.169E+01        4.8   .430     23.71  .887E+00
   17   82  -11.3   77.2    1   .152E+02  -.187E+01        4.5   .430     23.77  .902E+00
   18   83  -19.4   77.8    1   .176E+02  -.217E+01        3.9   .430     23.87  .921E+00
   19   84  -27.5   78.5    1   .214E+02  -.263E+01        3.2   .430     23.98  .940E+00
   20   85  -35.5   79.4    1   .269E+02  -.332E+01        2.3   .430     24.09  .957E+00
   21   86  -43.6   80.4    1   .351E+02  -.434E+01        1.2   .430     24.19  .970E+00
   22   87  -51.6   81.7    1   .478E+02  -.592E+01         .0   .430     24.24  .975E+00
   23   88  -59.5   83.0    1   .864E+02  -.214E+02       -1.4   .429     24.26  .974E+00


 Time:      8.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.215E+03   .293E+02        5.3   .460     20.98  .110E+00
    2   18 -200.0     .0    1  -.541E+02   .738E+01       20.0   .460     20.99  .520E-01
    3   44  200.0     .0    1  -.553E+02   .754E+01       20.0   .460     21.43  .102E+00
    4   45  200.0   14.7    1  -.250E+03   .340E+02        5.3   .460     21.44  .212E+00
    5   70   84.3   85.5    1   .638E+02  -.162E+02       -3.9   .424     24.48  .976E+00
    6   71   76.6   83.7    1   .547E+02  -.691E+01       -2.1   .428     24.63  .985E+00
    7   72   68.9   82.1    1   .423E+02  -.533E+01        -.5   .430     24.66  .985E+00
    8   73   61.0   80.8    1   .345E+02  -.433E+01         .9   .430     24.61  .980E+00
    9   74   53.2   79.6    1   .270E+02  -.338E+01        2.1   .430     24.52  .970E+00
   10   75   45.2   78.6    1   .219E+02  -.273E+01        3.1   .430     24.40  .957E+00
   11   76   37.2   77.8    1   .182E+02  -.226E+01        3.8   .430     24.29  .940E+00
   12   77   29.2   77.2    1   .155E+02  -.192E+01        4.4   .430     24.19  .924E+00
   13   78   21.1   76.9    1   .138E+02  -.171E+01        4.8   .430     24.11  .910E+00
   14   79   13.0   76.7    1   .130E+02  -.160E+01        5.0   .430     24.07  .901E+00
   15   80    4.9   76.7    1   .129E+02  -.159E+01        5.0   .430     24.05  .900E+00
   16   81   -3.2   76.9    1   .135E+02  -.167E+01        4.8   .430     24.08  .907E+00
   17   82  -11.3   77.2    1   .150E+02  -.185E+01        4.5   .430     24.13  .921E+00
   18   83  -19.4   77.8    1   .174E+02  -.215E+01        3.9   .430     24.21  .937E+00
   19   84  -27.5   78.5    1   .211E+02  -.260E+01        3.2   .430     24.30  .954E+00
   20   85  -35.5   79.4    1   .266E+02  -.328E+01        2.3   .430     24.40  .967E+00
   21   86  -43.6   80.4    1   .347E+02  -.429E+01        1.2   .430     24.49  .978E+00
   22   87  -51.6   81.7    1   .472E+02  -.585E+01         .0   .430     24.52  .982E+00
   23   88  -59.5   83.0    1   .854E+02  -.212E+02       -1.4   .429     24.53  .982E+00


 Time:     10.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.216E+03   .294E+02        5.3   .460     21.35  .199E+00
    2   18 -200.0     .0    1  -.544E+02   .742E+01       20.0   .460     21.35  .112E+00
    3   44  200.0     .0    1  -.554E+02   .756E+01       20.0   .460     21.88  .186E+00
    4   45  200.0   14.7    1  -.250E+03   .341E+02        5.3   .460     21.88  .329E+00
    5   70   84.3   85.5    1   .638E+02  -.161E+02       -3.9   .424     24.78  .983E+00
    6   71   76.6   83.7    1   .546E+02  -.690E+01       -2.1   .428     24.93  .990E+00
    7   72   68.9   82.1    1   .422E+02  -.532E+01        -.5   .430     24.96  .989E+00
    8   73   61.0   80.8    1   .345E+02  -.433E+01         .9   .430     24.92  .985E+00
    9   74   53.2   79.6    1   .270E+02  -.337E+01        2.1   .430     24.83  .977E+00
   10   75   45.2   78.6    1   .219E+02  -.273E+01        3.1   .430     24.72  .966E+00
   11   76   37.2   77.8    1   .181E+02  -.226E+01        3.8   .430     24.62  .952E+00
   12   77   29.2   77.2    1   .155E+02  -.192E+01        4.4   .430     24.53  .938E+00
   13   78   21.1   76.9    1   .138E+02  -.171E+01        4.8   .430     24.45  .926E+00
   14   79   13.0   76.7    1   .129E+02  -.160E+01        5.0   .430     24.41  .918E+00
   15   80    4.9   76.7    1   .128E+02  -.158E+01        5.0   .430     24.40  .917E+00
   16   81   -3.2   76.9    1   .135E+02  -.166E+01        4.8   .430     24.41  .923E+00
   17   82  -11.3   77.2    1   .150E+02  -.184E+01        4.5   .430     24.46  .935E+00
   18   83  -19.4   77.8    1   .174E+02  -.214E+01        3.9   .430     24.52  .949E+00
   19   84  -27.5   78.5    1   .210E+02  -.259E+01        3.2   .430     24.61  .963E+00
   20   85  -35.5   79.4    1   .265E+02  -.327E+01        2.3   .430     24.69  .974E+00
   21   86  -43.6   80.4    1   .346E+02  -.427E+01        1.2   .430     24.77  .983E+00
   22   87  -51.6   81.7    1   .471E+02  -.583E+01         .0   .430     24.80  .987E+00
   23   88  -59.5   83.0    1   .851E+02  -.211E+02       -1.4   .429     24.80  .987E+00


 Time:     12.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.216E+03   .295E+02        5.3   .460     21.71  .291E+00
    2   18 -200.0     .0    1  -.545E+02   .743E+01       20.0   .460     21.71  .183E+00
    3   44  200.0     .0    1  -.554E+02   .756E+01       20.0   .460     22.30  .274E+00
    4   45  200.0   14.7    1  -.250E+03   .341E+02        5.3   .460     22.31  .433E+00
    5   70   84.3   85.5    1   .637E+02  -.161E+02       -3.9   .424     25.07  .987E+00
    6   71   76.6   83.7    1   .546E+02  -.690E+01       -2.1   .428     25.20  .992E+00
    7   72   68.9   82.1    1   .422E+02  -.532E+01        -.5   .430     25.24  .992E+00
    8   73   61.0   80.8    1   .344E+02  -.432E+01         .9   .430     25.20  .988E+00
    9   74   53.2   79.6    1   .270E+02  -.337E+01        2.1   .430     25.12  .981E+00
   10   75   45.2   78.6    1   .218E+02  -.272E+01        3.1   .430     25.02  .973E+00
   11   76   37.2   77.8    1   .181E+02  -.225E+01        3.8   .430     24.93  .961E+00
   12   77   29.2   77.2    1   .155E+02  -.192E+01        4.4   .430     24.84  .949E+00
   13   78   21.1   76.9    1   .138E+02  -.170E+01        4.8   .430     24.77  .938E+00
   14   79   13.0   76.7    1   .129E+02  -.160E+01        5.0   .430     24.73  .931E+00
   15   80    4.9   76.7    1   .128E+02  -.158E+01        5.0   .430     24.71  .930E+00
   16   81   -3.2   76.9    1   .135E+02  -.166E+01        4.8   .430     24.72  .936E+00
   17   82  -11.3   77.2    1   .150E+02  -.184E+01        4.5   .430     24.76  .946E+00
   18   83  -19.4   77.8    1   .174E+02  -.214E+01        3.9   .430     24.82  .958E+00
   19   84  -27.5   78.5    1   .210E+02  -.259E+01        3.2   .430     24.89  .970E+00
   20   85  -35.5   79.4    1   .264E+02  -.326E+01        2.3   .430     24.97  .979E+00
   21   86  -43.6   80.4    1   .345E+02  -.427E+01        1.2   .430     25.03  .987E+00
   22   87  -51.6   81.7    1   .470E+02  -.582E+01         .0   .430     25.05  .990E+00
